OBJECTID,DATE,PERIOD,PERLEN,EXCHID,NLASUBREG,NLASUBATTACH,NLAMTPAGATT,NLASUBREGINTROAM,NLAPAGREQ,NLASUCCPAGREQ,NSIMSUBATTACH,NUSIMSUBATTACH,NLASUBREGNAT,NLASUBREGATTNAT
4600021913,20190209,1800-0491,386,,15966,15245,0,8,355,334,985,1,0,0
4600021914,20190209,1800-0491,386,,12162,11485,0,8,271,264,628,12,0,0
4600022160,20190209,1800-0491,386,,6512,6236,0,0,180,169,253,11,0,0
4600021919,20190209,1800-0491,386,,16218,15375,0,5,331,315,629,1,0,0
4600022164,20190209,1800-0491,386,,11615,11042,0,0,323,299,588,0,0,0
4600022169,20190209,1800-0491,386,,3,3,0,0,1,1,0,3,0,0
4600021908,20190209,1800-0491,386,,18791,17797,0,10,385,385,531,1803,0,0
4600021915,20190209,1800-0491,386,,8963,8467,0,2,421,372,329,41,0,0
4600021916,20190209,1800-0491,386,,5357,5047,0,0,199,177,226,10,0,0
4600021917,20190209,1800-0491,386,,12468,11874,0,28,253,240,575,3,0,0
4600054772,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021918,20190209,1800-0491,386,,13748,13048,0,7,269,257,804,3,0,0
4600054769,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-0491,386,,16194,15378,0,13,410,403,688,21,0,0
4600021905,20190209,1800-0491,386,,20959,19732,0,6,391,385,833,1842,0,0
4600022167,20190209,1800-0491,386,,11029,10478,0,5,236,215,1207,0,0,0
4600022162,20190209,1800-0491,386,,9890,9334,0,8,252,238,494,2,0,0
4600021906,20190209,1800-0491,386,,4657,4397,0,2,149,136,200,12,0,0
4600054768,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-0491,386,,16093,15232,0,19,290,281,470,3,0,0
4600021912,20190209,1800-0491,386,,16617,15844,0,0,496,467,495,5,0,0
4600022161,20190209,1800-0491,386,,4845,4613,0,0,154,140,122,3,0,0
4600054771,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021913,20190209,1800-0491,386,,15893,15146,0,4,392,373,993,2,0,0
4600021914,20190209,1800-0491,386,,12145,11565,0,7,322,298,685,14,0,0
4600022160,20190209,1800-0491,386,,6564,6264,0,0,158,149,256,66,0,0
4600021919,20190209,1800-0491,386,,16218,15470,0,4,317,305,650,1,0,0
4600022164,20190209,1800-0491,386,,11633,11098,0,3,300,286,592,0,0,0
4600022169,20190209,1800-0491,386,,2,2,0,0,0,0,0,2,0,0
4600021908,20190209,1800-0491,386,,18664,17721,0,5,407,396,498,1375,0,0
4600021915,20190209,1800-0491,386,,9089,8572,0,5,385,355,357,4,0,0
4600021916,20190209,1800-0491,386,,5414,5085,0,0,202,171,260,7,0,0
4600021917,20190209,1800-0491,386,,12846,12270,0,25,280,270,622,1,0,0
4600054772,20190209,1800-0491,386,,1,0,0,0,0,0,0,0,0,0
4600021918,20190209,1800-0491,386,,13969,13325,0,11,294,276,862,4,0,0
4600054769,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-0491,386,,15974,15240,0,13,377,363,726,2,0,0
4600021905,20190209,1800-0491,386,,21132,19913,0,11,361,353,794,1155,0,0
4600022167,20190209,1800-0491,386,,11023,10510,0,6,255,248,1209,1,0,0
4600022162,20190209,1800-0491,386,,9821,9236,0,14,221,214,458,6,0,0
4600021906,20190209,1800-0491,386,,4705,4483,0,0,163,137,212,6,0,0
4600054768,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-0491,386,,16303,15420,0,18,324,313,464,35,0,0
4600021912,20190209,1800-0491,386,,16479,15687,0,3,483,432,502,3,0,0
4600022161,20190209,1800-0491,386,,4738,4521,0,1,131,125,131,15,0,0
4600054771,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021913,20190209,1800-0491,386,,47896,45690,0,17,1095,1048,2956,7,0,0
4600021914,20190209,1800-0491,386,,36472,34597,0,20,903,855,1962,43,0,0
4600022160,20190209,1800-0491,386,,19672,18787,0,0,520,491,757,129,0,0
4600021919,20190209,1800-0491,386,,48391,46026,0,18,933,888,1902,2,0,0
4600022164,20190209,1800-0491,386,,34820,33199,0,6,926,873,1723,4,0,0
4600022169,20190209,1800-0491,386,,7,7,0,0,1,1,1,6,0,0
4600021908,20190209,1800-0491,386,,55919,53092,0,20,1204,1176,1524,4799,0,0
4600021915,20190209,1800-0491,386,,26974,25464,0,8,1165,1055,1000,46,0,0
4600021916,20190209,1800-0491,386,,16088,15097,0,0,642,565,722,27,0,0
4600021917,20190209,1800-0491,386,,37926,36162,0,79,820,754,1767,6,0,0
4600054772,20190209,1800-0491,386,,1,0,0,0,0,0,0,0,0,0
4600021918,20190209,1800-0491,386,,41335,39314,0,28,819,774,2494,11,0,0
4600054769,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-0491,386,,48224,45877,0,32,1202,1168,2111,38,0,0
4600021905,20190209,1800-0491,386,,63173,59475,0,27,1123,1105,2392,4980,0,0
4600022167,20190209,1800-0491,386,,32970,31381,0,12,783,739,3626,2,0,0
4600022162,20190209,1800-0491,386,,29387,27692,0,34,687,663,1452,8,0,0
4600021906,20190209,1800-0491,386,,14051,13333,0,2,479,421,599,28,0,0
4600054768,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-0491,386,,48697,46027,0,64,907,879,1433,46,0,0
4600021912,20190209,1800-0491,386,,49717,47379,0,6,1552,1439,1547,17,0,0
4600022161,20190209,1800-0491,386,,14337,13636,0,2,439,408,374,18,0,0
4600054771,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0
