OBJECTID,DATE,PERIOD,PERLEN,EXCHID,NLAPAG1LOTOT,NLAPAG2LOTOT,NLAPAG1RESUCC,NLAPAG2RESUCC,NLAPAGERR,NLALOCSSRFLT,NLALOCTOT,NLALOCSUCC,NLALOCPRRFLT,NLALNOTOT,NLALNOSUCC,NLALNNTOT,NLALNNSUCC,NLALIOTOT,NLALIOSUCC,NLALPETOT,NLALPESUCC,NLAL2ONTOT,NLAL2NOSUCC,NLAL2IOTOT,NLAL2OISUCC,NLLALOCTOT,NLLALNOTOT,NLLALNNTOT,NLLALIOTOT,NLLALPETOT,NLLAREGSUB,NLLAATTSUB,NLLAGPRSATTSUB,NLASATSGS
4600021914,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,1969,172,1796,33,11,0,13330,12255,0,8577,8538,1423,416,761,749,2530,2527,0,0,0,0,0,0,0,0,0,26810,25329,0,18115
4600022160,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,944,77,866,13,3,0,8452,7817,0,6247,6213,805,212,256,252,1122,1122,0,0,0,0,0,0,0,0,0,14406,13729,0,10080
4600021913,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,2326,140,2183,22,8,0,11593,10240,0,5920,5897,1974,666,837,826,2790,2787,0,0,0,0,0,0,0,0,0,35208,33401,0,25564
4600054772,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054774,20190209,1800-1900,60,XUCGS2*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600022167,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,4399,256,4147,41,9,0,23642,19550,0,4037,3986,11848,7838,1577,1567,6145,6141,0,0,0,0,0,0,0,0,0,19821,17981,0,0
4600021908,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,6079,208,5859,56,8,0,26275,20583,0,9884,9786,5841,412,3066,3005,7324,7311,0,0,0,0,0,0,0,0,0,24440,21086,0,0
4600021915,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,5008,458,4550,46,11,0,21191,17271,0,6887,6825,4973,1325,2358,2251,6841,6841,0,0,0,0,0,0,0,0,0,19905,18012,0,0
4600021916,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,2729,281,2450,24,4,0,13479,10782,0,5667,5633,3042,428,1293,1263,3445,3445,0,0,0,0,0,0,0,0,0,11232,9953,0,0
4600021917,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,4167,230,3933,25,9,0,13963,11056,0,1651,1625,3732,915,2187,2151,6341,6334,0,0,0,0,0,0,0,0,0,18177,16353,0,0
4600021918,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,3971,277,3688,38,15,0,12689,10335,0,1346,1343,2989,770,1738,1655,6543,6541,0,0,0,0,0,0,0,0,0,19163,17119,0,0
4600054769,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,6288,268,6021,51,13,0,28385,24461,0,11285,11143,4941,1388,2803,2655,9239,9228,0,0,0,0,0,0,0,0,0,28940,26153,0,0
4600021905,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,5854,142,5701,56,11,0,30003,23773,0,7445,7341,6093,439,4769,4554,11368,11356,0,0,0,0,0,0,0,0,0,34682,29599,0,0
4600021906,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,2148,153,1996,12,4,0,10251,8308,0,4011,3981,2332,439,758,748,3125,3125,0,0,0,0,0,0,0,0,0,9321,8452,0,0
4600022162,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,3732,176,3547,28,8,0,22732,20015,0,8723,8583,5918,3473,2411,2299,5513,5506,0,0,0,0,0,0,0,0,0,18652,16412,0,0
4600021913,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,5760,320,5432,65,12,0,23194,19115,0,5887,5771,5663,1816,3558,3499,7921,7911,0,0,0,0,0,0,0,0,0,24541,21905,0,0
4600054768,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600054770,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021911,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,4369,150,4212,26,13,0,24724,20074,0,7339,7227,7506,3205,3191,3072,6514,6504,0,0,0,0,0,0,0,0,0,21138,17847,0,0
4600022161,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,1860,96,1762,13,2,0,7267,5988,0,1663,1645,2369,1138,404,404,2776,2774,0,0,0,0,0,0,0,0,0,8218,7399,0,0
4600021912,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,5998,497,5494,56,16,0,26444,22854,0,10806,10691,4820,1430,2795,2765,7910,7904,0,0,0,0,0,0,0,0,0,25403,22649,0,0
4600054771,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600022164,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,3637,225,3411,31,2,0,13401,11068,0,2560,2535,3860,1582,1155,1132,5783,5783,0,0,0,0,0,0,0,0,0,17018,15464,0,0
4600021919,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,5011,275,4730,61,8,0,19184,14875,0,2538,2483,6596,2554,2106,2093,7493,7483,0,0,0,0,0,0,0,0,0,21498,19179,0,0
4600021914,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,4969,250,4713,34,10,0,20773,17516,0,7437,7357,4151,1117,1828,1724,7277,7273,0,0,0,0,0,0,0,0,0,21897,19534,0,0
4600022160,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,2355,150,2200,26,4,0,15465,13548,0,9505,9401,2285,495,802,783,2841,2840,0,0,0,0,0,0,0,0,0,10352,9363,0,0
4600054772,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
4600054774,20190209,1800-1900,60,XUCGS7*79C/KD/03/03    ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021913,20190209,1800-0491,386,,883,57,828,18,1,0,5456,4983,0,3315,3298,717,268,318,317,1080,1076,0,0,0,0,0,0,0,0,0,16036,15298,0,12193
4600021914,20190209,1800-0491,386,,777,84,692,9,1,0,5802,5305,0,3857,3842,638,163,263,261,1039,1035,0,0,0,0,0,0,0,0,0,12165,11547,0,8648
4600022160,20190209,1800-0491,386,,447,32,409,2,0,0,3674,3345,0,2695,2678,378,68,129,127,467,467,0,0,0,0,0,0,0,0,0,6597,6288,0,4837
4600021919,20190209,1800-0491,386,,881,62,816,12,0,0,5195,4539,0,2720,2667,963,370,353,349,1096,1094,0,0,0,0,0,0,0,0,0,15956,15182,0,12172
4600022164,20190209,1800-0491,386,,859,106,752,9,2,0,7008,6676,0,5017,5012,556,232,405,405,1018,1018,0,0,0,0,0,0,0,0,0,11572,11059,0,8157
4600022169,20190209,1800-0491,386,,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0
4600021908,20190209,1800-0491,386,,1030,70,959,15,2,0,5400,4704,0,3365,3343,718,52,288,283,1024,1024,0,0,0,0,0,0,0,0,0,18463,17573,0,14399
4600021915,20190209,1800-0491,386,,1086,182,904,13,2,0,5973,5298,0,3867,3860,847,180,286,286,971,970,0,0,0,0,0,0,0,0,0,8923,8426,0,5560
4600021916,20190209,1800-0491,386,,607,92,514,4,4,0,3326,3129,0,2404,2402,269,74,118,118,533,533,0,0,0,0,0,0,0,0,0,5317,4965,0,3310
4600021917,20190209,1800-0491,386,,740,104,634,11,5,0,5334,5025,0,3676,3651,415,133,232,231,1003,1003,0,0,0,0,0,0,0,0,0,12612,12018,0,9421
4600054772,20190209,1800-0491,386,,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021918,20190209,1800-0491,386,,797,72,723,12,3,0,5606,5278,0,3772,3761,429,112,303,303,1094,1094,0,0,0,0,0,0,0,0,0,13618,12941,0,9936
4600054769,20190209,1800-0491,386,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4600021904,20190209,1800-0491,386,,972,53,918,12,3,0,6335,5839,0,3990,3970,704,231,464,462,1167,1167,0,0,0,0,0,0,0,0,0,16054,15257,0,11621
4600021905,20190209,1800-0491,386,,993,22,968,3,1,0,6522,5665,0,3642,3609,879,69,449,444,1538,1536,0,0,0,0,0,0,0,0,0,21084,19832,0,15769
4600022167,20190209,1800-0491,386,,720,44,679,9,4,0,4299,4003,0,1922,1918,1371,1083,122,120,881,880,0,0,0,0,0,0,0,0,0,10919,10394,0,7772
